list-none-none,1,10,1,30,105500,3516
list-none-none,1,100,1,300,105989,353
list-none-none,1,1000,1,3000,208179,69
list-none-none,1,10000,1,30000,1035815,34
list-none-none,1,20000,1,60000,2005374,33
list-none-none,2,1,1,6,115845,19307
list-none-none,2,10,1,60,114842,1914
list-none-none,2,100,1,600,164824,274
list-none-none,4,1,1,12,1051459,87621
list-none-none,8,1,1,24,1026129,42755
list-none-none,12,1,1,36,721130,20031
list-none-none,12,10,1,360,1817526,5048
list-i-none,2,1,1,6,107551,17925
list-d-none,2,1,1,6,152215,25369
list-il-none,2,1,1,6,159139,26523
list-dl-none,2,1,1,6,114984,19164
list-i-none,2,2,1,12,141374,11781
list-d-none,2,2,1,12,124294,10357
list-il-none,2,2,1,12,110071,9172
list-dl-none,2,2,1,12,124176,10348
list-i-none,2,4,1,24,168414,7017
list-d-none,2,4,1,24,113549,4731
list-il-none,2,4,1,24,133703,5570
list-dl-none,2,4,1,24,116056,4835
list-i-none,2,8,1,48,134530,2802
list-d-none,2,8,1,48,154321,3215
list-il-none,2,8,1,48,132865,2768
list-dl-none,2,8,1,48,116929,2436
list-i-none,2,16,1,96,143478,1494
list-il-none,2,16,1,96,151838,1581
list-dl-none,2,16,1,96,178694,1861
list-i-none,2,32,1,192,134839,702
list-il-none,2,32,1,192,141183,735
list-dl-none,2,32,1,192,144126,750
list-i-none,4,1,1,12,651598,54299
list-d-none,4,1,1,12,200617,16718
list-il-none,4,1,1,12,532012,44334
list-dl-none,4,1,1,12,157633,13136
list-i-none,4,2,1,24,208778,8699
list-il-none,4,2,1,24,431951,17997
list-dl-none,4,2,1,24,586518,24438
list-d-none,4,4,1,48,162871,3393
list-il-none,4,4,1,48,219309,4568
list-dl-none,4,4,1,48,200074,4168
list-d-none,4,8,1,96,211263,2200
list-i-none,8,1,1,24,362740,15114
list-d-none,8,1,1,24,305764,12740
list-il-none,8,1,1,24,615034,25626
list-dl-none,8,1,1,24,595603,24816
list-d-none,8,2,1,48,839785,17495
list-il-none,8,2,1,48,1024412,21341
list-dl-none,8,2,1,48,926645,19305
list-i-none,8,4,1,96,597891,6228
list-il-none,8,4,1,96,614370,6399
list-d-none,8,8,1,192,638531,3325
list-il-none,8,8,1,192,1430959,7452
list-i-none,8,16,1,384,679260,1768
list-dl-none,8,16,1,384,250337,651
list-i-none,12,1,1,36,2141922,59497
list-d-none,12,1,1,36,861258,23923
list-il-none,12,1,1,36,877370,24371
list-dl-none,12,1,1,36,1061122,29475
list-d-none,12,2,1,72,363579,5049
list-il-none,12,2,1,72,677842,9414
list-dl-none,12,2,1,72,1189799,16524
list-i-none,12,4,1,144,671606,4663
list-il-none,12,4,1,144,721484,5010
list-dl-none,12,4,1,144,355807,2470
list-i-none,12,8,1,288,677444,2352
list-d-none,12,8,1,288,683161,2372
list-dl-none,12,8,1,288,670384,2327
list-none-m,1,1000,1,3000,191795,63
list-none-s,1,1000,1,3000,226065,75
list-none-m,2,1000,1,6000,656396,109
list-none-s,2,1000,1,6000,540965,90
list-none-m,4,1000,1,12000,2981527,248
list-none-s,4,1000,1,12000,4274222,356
list-none-m,8,1000,1,24000,12906829,537
list-none-s,8,1000,1,24000,9870012,411
list-none-m,12,1000,1,36000,20956661,582
list-none-s,12,1000,1,36000,24291371,674
list-none-m,16,1000,1,48000,30124451,627
list-none-s,16,1000,1,48000,42357917,882
list-none-m,24,1000,1,72000,46819577,650
list-none-s,24,1000,1,72000,107357163,1491
list-i-m,12,32,1,1152,1745180,1514
list-d-m,12,32,1,1152,1623067,1408
list-il-m,12,32,1,1152,1775244,1541
list-dl-m,12,32,1,1152,2013952,1748
list-i-s,12,32,1,1152,1422051,1234
list-d-s,12,32,1,1152,1734804,1505
list-il-s,12,32,1,1152,1550079,1345
list-dl-s,12,32,1,1152,2040031,1770
